iter	Passed	Remaining
0	1	108
1	1	95
2	3	100
3	4	102
4	5	99
5	6	94
6	6	90
7	7	87
8	8	85
9	9	84
10	10	82
11	11	81
12	12	80
13	13	80
14	14	79
15	14	77
16	15	77
17	16	74
18	17	73
19	18	74
20	20	76
21	21	77
22	22	75
23	23	74
24	24	73
25	25	71
26	25	70
27	26	68
28	27	67
29	28	65
30	28	64
31	29	63
32	31	63
33	32	62
34	32	60
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	50
47	45	49
48	47	49
49	48	48
50	50	48
51	51	47
52	52	46
53	53	45
54	53	43
55	54	42
56	55	41
57	56	41
58	58	40
59	59	39
60	60	38
61	62	38
62	63	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	72	30
70	72	29
71	74	28
72	75	28
73	76	27
74	78	26
75	79	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	87	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	97	10
90	98	9
91	99	8
92	100	7
93	102	6
94	103	5
95	104	4
96	106	3
97	107	2
98	108	1
99	109	0
